no_municipio_prova,co_municipio_prova,sg_uf_prova,nome_uf_prova,regiao_nome_prova,nota_cn_ciencias_da_natureza,nota_lc_linguagens_e_codigos,nota_mt_matematica,nota_redacao,tp_status_redacao
Maceió,2704302,AL,Alagoas             ,Nordeste    ,534.6,332.3,507.1,760.0,Sem problemas                                     
Goiânia,5208707,GO,Goiás               ,Centro-Oeste,453.8,609.6,659.9,840.0,Sem problemas                                     
Palmas,4117602,PR,Paraná              ,Sul         ,388.0,476.5,487.2,400.0,Sem problemas                                     
João Dourado,2918357,BA,Bahia               ,Nordeste    ,517.8,530.4,475.2,440.0,Sem problemas                                     
Montes Claros,3143302,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Santo André,3547809,SP,São Paulo           ,Sudeste     ,491.2,474.7,444.5,680.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,469.3,498.0,394.6,640.0,Sem problemas                                     
Vitória de Santo Antão,2616407,PE,Pernambuco          ,Nordeste    ,417.8,551.8,470.9,840.0,Sem problemas                                     
União da Vitória,4128203,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Itamaraju,2915601,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Iguaba Grande,3301876,RJ,Rio de Janeiro      ,Sudeste     ,412.6,539.0,472.7,680.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Chapecó,4204202,SC,Santa Catarina      ,Sul         ,570.5,561.6,461.6,860.0,Sem problemas                                     
Cuiabá,5103403,MT,Mato Grosso         ,Centro-Oeste,428.6,523.9,393.9,640.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,479.5,464.8,495.3,420.0,Sem problemas                                     
Itaporanga d'Ajuda,2803203,SE,Sergipe             ,Nordeste    ,480.0,510.6,496.7,620.0,Sem problemas                                     
Contagem,3118601,MG,Minas Gerais        ,Sudeste     ,554.9,544.5,612.3,900.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,568.4,592.1,446.9,0.0,Em Branco                                         
Cametá,1502103,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Imperatriz,2105302,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Itapetinga,2916401,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Campina Grande,2504009,PB,Paraíba             ,Nordeste    ,659.7,698.1,831.8,900.0,Sem problemas                                     
Betim,3106705,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Poconé,5106505,MT,Mato Grosso         ,Centro-Oeste,,,,,Missing - Sem informação                          
São Gonçalo do Amarante,2412005,RN,Rio Grande do Norte ,Nordeste    ,559.3,535.5,609.9,620.0,Sem problemas                                     
Moju,1504703,PA,Pará                ,Norte       ,434.2,395.4,378.3,480.0,Sem problemas                                     
Goiânia,5208707,GO,Goiás               ,Centro-Oeste,375.9,508.8,408.8,540.0,Sem problemas                                     
Ipiaú,2913903,BA,Bahia               ,Nordeste    ,,374.6,,0.0,Em Branco                                         
Nova Odessa,3533403,SP,São Paulo           ,Sudeste     ,459.4,583.6,462.6,660.0,Sem problemas                                     
Recife,2611606,PE,Pernambuco          ,Nordeste    ,379.3,527.1,429.5,840.0,Sem problemas                                     
Bezerros,2601904,PE,Pernambuco          ,Nordeste    ,500.2,556.2,437.6,620.0,Sem problemas                                     
Caarapó,5002407,MS,Mato Grosso do Sul  ,Centro-Oeste,,429.6,,480.0,Sem problemas                                     
Ubiratã,4128005,PR,Paraná              ,Sul         ,597.2,515.5,550.8,780.0,Sem problemas                                     
Iraquara,2914406,BA,Bahia               ,Nordeste    ,493.3,526.8,559.6,720.0,Sem problemas                                     
Recife,2611606,PE,Pernambuco          ,Nordeste    ,493.5,429.9,585.3,760.0,Sem problemas                                     
Marabá,1504208,PA,Pará                ,Norte       ,461.0,466.7,407.6,540.0,Sem problemas                                     
Macapá,1600303,AP,Amapá               ,Norte       ,650.4,649.0,750.2,840.0,Sem problemas                                     
Rio Branco,1200401,AC,Acre                ,Norte       ,418.9,525.4,430.6,580.0,Sem problemas                                     
Patos,2510808,PB,Paraíba             ,Nordeste    ,564.7,567.3,758.7,900.0,Sem problemas                                     
Mombaça,2308500,CE,Ceará               ,Nordeste    ,719.0,669.9,862.9,960.0,Sem problemas                                     
Nova Serrana,3145208,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,603.2,662.7,702.1,920.0,Sem problemas                                     
Recife,2611606,PE,Pernambuco          ,Nordeste    ,413.0,532.9,644.7,920.0,Sem problemas                                     
Lavras,3138203,MG,Minas Gerais        ,Sudeste     ,636.7,585.5,705.5,640.0,Sem problemas                                     
Santarém,1506807,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Montes Claros,3143302,MG,Minas Gerais        ,Sudeste     ,574.8,567.6,456.5,940.0,Sem problemas                                     
Patos de Minas,3148004,MG,Minas Gerais        ,Sudeste     ,498.4,559.5,494.5,740.0,Sem problemas                                     
Nova Friburgo,3303401,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,505.0,614.6,490.2,680.0,Sem problemas                                     
Vera Cruz,2933208,BA,Bahia               ,Nordeste    ,497.1,536.9,455.6,880.0,Sem problemas                                     
Riachuelo,2805901,SE,Sergipe             ,Nordeste    ,592.1,582.9,479.2,560.0,Sem problemas                                     
Patos de Minas,3148004,MG,Minas Gerais        ,Sudeste     ,571.5,557.0,671.9,760.0,Sem problemas                                     
São João do Rio do Peixe,2500700,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Piraquara,4119509,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Mauriti,2308104,CE,Ceará               ,Nordeste    ,483.9,473.7,496.0,440.0,Sem problemas                                     
Cuiabá,5103403,MT,Mato Grosso         ,Centro-Oeste,,,,,Missing - Sem informação                          
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,500.9,539.8,532.3,700.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,411.7,554.6,487.3,580.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,443.8,570.7,425.3,620.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,345.3,472.7,451.4,320.0,Sem problemas                                     
Carapicuíba,3510609,SP,São Paulo           ,Sudeste     ,369.9,536.1,488.9,460.0,Sem problemas                                     
Umuarama,4128104,PR,Paraná              ,Sul         ,,,,,Missing - Sem informação                          
Bertioga,3506359,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Magé,3302502,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Belém,1501402,PA,Pará                ,Norte       ,418.1,532.7,540.1,420.0,Sem problemas                                     
Campinas,3509502,SP,São Paulo           ,Sudeste     ,,,,,Missing - Sem informação                          
Simões Filho,2930709,BA,Bahia               ,Nordeste    ,,616.5,,820.0,Sem problemas                                     
São Gonçalo,3304904,RJ,Rio de Janeiro      ,Sudeste     ,420.4,481.4,446.5,720.0,Sem problemas                                     
Curitiba,4106902,PR,Paraná              ,Sul         ,454.7,478.0,601.4,840.0,Sem problemas                                     
Porto Velho,1100205,RO,Rondônia            ,Norte       ,,,,,Missing - Sem informação                          
Aracaju,2800308,SE,Sergipe             ,Nordeste    ,539.7,592.1,596.9,800.0,Sem problemas                                     
Jaboatão dos Guararapes,2607901,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
João Pessoa,2507507,PB,Paraíba             ,Nordeste    ,503.0,543.2,652.7,800.0,Sem problemas                                     
Serra Talhada,2613909,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,558.4,623.8,517.6,660.0,Sem problemas                                     
Rio do Sul,4214805,SC,Santa Catarina      ,Sul         ,,,,,Missing - Sem informação                          
União dos Palmares,2709301,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Campo Bom,4303905,RS,Rio Grande do Sul   ,Sul         ,473.7,555.4,540.5,700.0,Sem problemas                                     
Cândido Mota,3510005,SP,São Paulo           ,Sudeste     ,546.2,529.9,603.2,780.0,Sem problemas                                     
Santa Cruz do Sul,4316808,RS,Rio Grande do Sul   ,Sul         ,453.2,575.0,415.5,520.0,Sem problemas                                     
Uruburetama,2313807,CE,Ceará               ,Nordeste    ,555.0,591.8,641.4,720.0,Sem problemas                                     
Ribeirão Preto,3543402,SP,São Paulo           ,Sudeste     ,490.2,550.7,635.1,720.0,Sem problemas                                     
São Sepé,4319604,RS,Rio Grande do Sul   ,Sul         ,473.0,498.2,377.7,720.0,Sem problemas                                     
São Luís,2111300,MA,Maranhão            ,Nordeste    ,,,,,Missing - Sem informação                          
Bragança Paulista,3507605,SP,São Paulo           ,Sudeste     ,542.2,545.5,632.4,880.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,616.7,612.2,662.2,940.0,Sem problemas                                     
São João da Boa Vista,3549102,SP,São Paulo           ,Sudeste     ,493.2,611.0,551.1,800.0,Sem problemas                                     
Diadema,3513801,SP,São Paulo           ,Sudeste     ,422.7,533.9,440.7,880.0,Sem problemas                                     
Ipatinga,3131307,MG,Minas Gerais        ,Sudeste     ,529.3,488.4,642.3,620.0,Sem problemas                                     
Vitória da Conquista,2933307,BA,Bahia               ,Nordeste    ,514.6,539.8,500.8,740.0,Sem problemas                                     
Ipatinga,3131307,MG,Minas Gerais        ,Sudeste     ,574.6,563.3,676.8,520.0,Sem problemas                                     
Salto,3545209,SP,São Paulo           ,Sudeste     ,496.4,583.0,473.5,720.0,Sem problemas                                     
Cacoal,1100049,RO,Rondônia            ,Norte       ,,,,,Missing - Sem informação                          
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,495.4,617.0,581.6,620.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,527.8,561.8,597.7,800.0,Sem problemas                                     
Teresina,2211001,PI,Piauí               ,Nordeste    ,514.2,600.4,406.8,620.0,Sem problemas                                     
Juazeiro,2918407,BA,Bahia               ,Nordeste    ,631.5,623.3,714.6,920.0,Sem problemas                                     
Caraguatatuba,3510500,SP,São Paulo           ,Sudeste     ,501.9,503.2,523.4,680.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Salvador,2927408,BA,Bahia               ,Nordeste    ,522.3,559.1,714.4,840.0,Sem problemas                                     
Silves,1304005,AM,Amazonas            ,Norte       ,,,,,Missing - Sem informação                          
Jardim,5005004,MS,Mato Grosso do Sul  ,Centro-Oeste,433.4,522.8,455.2,400.0,Sem problemas                                     
Olinda,2609600,PE,Pernambuco          ,Nordeste    ,442.3,530.9,381.2,740.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,499.8,601.0,603.7,720.0,Sem problemas                                     
Santo Antônio da Platina,4124103,PR,Paraná              ,Sul         ,479.3,465.6,519.6,560.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,489.6,547.9,406.0,500.0,Sem problemas                                     
Goiatuba,5209101,GO,Goiás               ,Centro-Oeste,,,,,Missing - Sem informação                          
Juiz de Fora,3136702,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Sapiranga,4319901,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Campo Maior,2202208,PI,Piauí               ,Nordeste    ,385.5,525.0,463.7,880.0,Sem problemas                                     
Buritis,3109303,MG,Minas Gerais        ,Sudeste     ,426.4,434.9,374.5,680.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,528.2,514.4,483.4,620.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
São Luís,2111300,MA,Maranhão            ,Nordeste    ,637.8,666.6,745.2,780.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,,515.9,,540.0,Sem problemas                                     
São Joaquim da Barra,3549409,SP,São Paulo           ,Sudeste     ,475.4,433.4,427.8,720.0,Sem problemas                                     
Guarabira,2506301,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Manaus,1302603,AM,Amazonas            ,Norte       ,478.7,570.1,489.3,540.0,Sem problemas                                     
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Itamarandiba,3132503,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
São Luís,2111300,MA,Maranhão            ,Nordeste    ,584.9,617.6,699.2,940.0,Sem problemas                                     
Serra,3205002,ES,Espírito Santo      ,Sudeste     ,,,,,Missing - Sem informação                          
Urucurituba,1304401,AM,Amazonas            ,Norte       ,485.6,532.4,575.9,600.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,394.8,428.6,516.1,460.0,Sem problemas                                     
Curitiba,4106902,PR,Paraná              ,Sul         ,493.4,471.8,401.8,640.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,496.4,475.1,380.0,400.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Goiás,5208905,GO,Goiás               ,Centro-Oeste,457.9,451.9,473.8,560.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,552.3,579.8,669.1,840.0,Sem problemas                                     
Taubaté,3554102,SP,São Paulo           ,Sudeste     ,677.1,593.7,811.1,920.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,450.6,552.1,612.3,900.0,Sem problemas                                     
Uberaba,3170107,MG,Minas Gerais        ,Sudeste     ,492.5,563.9,612.0,740.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,475.9,653.8,648.5,720.0,Sem problemas                                     
Oeiras,2207009,PI,Piauí               ,Nordeste    ,487.1,528.4,397.6,680.0,Sem problemas                                     
Barueri,3505708,SP,São Paulo           ,Sudeste     ,577.4,557.2,597.5,620.0,Sem problemas                                     
Vassouras,3306206,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Londrina,4113700,PR,Paraná              ,Sul         ,596.9,533.5,438.2,760.0,Sem problemas                                     
Santa Cruz do Capibaribe,2612505,PE,Pernambuco          ,Nordeste    ,,,,,Missing - Sem informação                          
Trindade,5221403,GO,Goiás               ,Centro-Oeste,510.9,586.4,631.4,660.0,Sem problemas                                     
Caxias do Sul,4305108,RS,Rio Grande do Sul   ,Sul         ,565.7,528.5,478.5,540.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Poço Redondo,2805406,SE,Sergipe             ,Nordeste    ,413.1,416.0,457.0,340.0,Sem problemas                                     
Ibititá,2913101,BA,Bahia               ,Nordeste    ,,523.4,,640.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,590.5,619.5,687.2,920.0,Sem problemas                                     
Içara,4207007,SC,Santa Catarina      ,Sul         ,,,,,Missing - Sem informação                          
Balneário Camboriú,4202008,SC,Santa Catarina      ,Sul         ,559.4,567.0,503.8,680.0,Sem problemas                                     
Olinda,2609600,PE,Pernambuco          ,Nordeste    ,400.3,465.8,410.4,620.0,Sem problemas                                     
Campinas,3509502,SP,São Paulo           ,Sudeste     ,559.2,521.2,659.7,560.0,Sem problemas                                     
Juazeiro do Norte,2307304,CE,Ceará               ,Nordeste    ,549.9,571.5,544.6,920.0,Sem problemas                                     
São Lourenço do Sul,4318804,RS,Rio Grande do Sul   ,Sul         ,353.5,511.0,383.0,480.0,Sem problemas                                     
Passos,3147907,MG,Minas Gerais        ,Sudeste     ,581.3,545.2,638.3,580.0,Sem problemas                                     
Anastácio,5000708,MS,Mato Grosso do Sul  ,Centro-Oeste,529.7,524.7,439.1,480.0,Sem problemas                                     
São Bernardo do Campo,3548708,SP,São Paulo           ,Sudeste     ,433.2,478.1,562.2,380.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,395.7,541.0,467.0,640.0,Sem problemas                                     
Eirunepé,1301407,AM,Amazonas            ,Norte       ,367.2,347.6,417.8,0.0,Cópia Texto Motivador                             
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,603.9,557.9,730.8,740.0,Sem problemas                                     
Itapetinga,2916401,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Valparaíso de Goiás,5221858,GO,Goiás               ,Centro-Oeste,465.5,556.2,488.6,700.0,Sem problemas                                     
Cametá,1502103,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Nova Serrana,3145208,MG,Minas Gerais        ,Sudeste     ,478.4,533.3,418.1,540.0,Sem problemas                                     
Sobral,2312908,CE,Ceará               ,Nordeste    ,,529.1,,0.0,Texto insuficiente                                
Cocal,2202703,PI,Piauí               ,Nordeste    ,456.8,522.9,471.0,780.0,Sem problemas                                     
Caieiras,3509007,SP,São Paulo           ,Sudeste     ,454.4,563.3,565.6,720.0,Sem problemas                                     
Nova Friburgo,3303401,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Picos,2208007,PI,Piauí               ,Nordeste    ,485.5,397.9,573.0,640.0,Sem problemas                                     
Manaus,1302603,AM,Amazonas            ,Norte       ,463.0,495.7,383.7,0.0,Em Branco                                         
Itamaraju,2915601,BA,Bahia               ,Nordeste    ,,,,,Missing - Sem informação                          
Londrina,4113700,PR,Paraná              ,Sul         ,442.1,555.6,491.5,700.0,Sem problemas                                     
Campo Maior,2202208,PI,Piauí               ,Nordeste    ,431.2,505.2,389.2,400.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,474.4,560.0,502.7,740.0,Sem problemas                                     
Serrinha,2930501,BA,Bahia               ,Nordeste    ,577.4,572.8,651.8,840.0,Sem problemas                                     
Cametá,1502103,PA,Pará                ,Norte       ,546.2,536.4,519.7,820.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Apucarana,4101408,PR,Paraná              ,Sul         ,501.1,549.3,601.2,660.0,Sem problemas                                     
Alegrete,4300406,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Goianinha,2404200,RN,Rio Grande do Norte ,Nordeste    ,,,,,Missing - Sem informação                          
Jaboatão dos Guararapes,2607901,PE,Pernambuco          ,Nordeste    ,487.0,573.3,641.5,860.0,Sem problemas                                     
Salvador,2927408,BA,Bahia               ,Nordeste    ,564.6,516.5,516.7,800.0,Sem problemas                                     
Alcântara,2100204,MA,Maranhão            ,Nordeste    ,435.6,526.5,476.7,780.0,Sem problemas                                     
Diadema,3513801,SP,São Paulo           ,Sudeste     ,599.6,546.5,630.6,700.0,Sem problemas                                     
Manaus,1302603,AM,Amazonas            ,Norte       ,,,,,Missing - Sem informação                          
Guaramirim,4206504,SC,Santa Catarina      ,Sul         ,574.5,562.8,629.4,700.0,Sem problemas                                     
Belo Horizonte,3106200,MG,Minas Gerais        ,Sudeste     ,440.6,494.4,473.4,560.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,524.8,499.4,598.8,760.0,Sem problemas                                     
Ribeirão Preto,3543402,SP,São Paulo           ,Sudeste     ,532.0,592.2,511.8,820.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,572.9,,620.0,Sem problemas                                     
Taubaté,3554102,SP,São Paulo           ,Sudeste     ,412.9,522.1,452.9,500.0,Sem problemas                                     
Marabá,1504208,PA,Pará                ,Norte       ,,,,,Missing - Sem informação                          
Dom Pedro,2103802,MA,Maranhão            ,Nordeste    ,482.0,561.2,464.1,640.0,Sem problemas                                     
Tavares,2516607,PB,Paraíba             ,Nordeste    ,444.7,501.3,479.7,780.0,Sem problemas                                     
Pirenópolis,5217302,GO,Goiás               ,Centro-Oeste,,,,,Missing - Sem informação                          
Sobradinho,4320701,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Rio Pardo,4315701,RS,Rio Grande do Sul   ,Sul         ,391.4,417.8,527.4,460.0,Sem problemas                                     
Vitória,3205309,ES,Espírito Santo      ,Sudeste     ,533.0,553.2,440.9,580.0,Sem problemas                                     
Natal,2408102,RN,Rio Grande do Norte ,Nordeste    ,647.7,671.6,754.1,880.0,Sem problemas                                     
Miguel Alves,2206209,PI,Piauí               ,Nordeste    ,475.6,,417.5,,Missing - Sem informação                          
Campos do Jordão,3509700,SP,São Paulo           ,Sudeste     ,552.1,631.4,479.7,680.0,Sem problemas                                     
Osasco,3534401,SP,São Paulo           ,Sudeste     ,650.9,678.0,686.7,900.0,Sem problemas                                     
Acará,1500206,PA,Pará                ,Norte       ,504.0,513.4,617.0,940.0,Sem problemas                                     
Campo Verde,5102678,MT,Mato Grosso         ,Centro-Oeste,616.9,591.5,657.9,840.0,Sem problemas                                     
Belém,1501402,PA,Pará                ,Norte       ,643.4,598.4,674.8,940.0,Sem problemas                                     
Vitória da Conquista,2933307,BA,Bahia               ,Nordeste    ,573.3,538.5,620.2,900.0,Sem problemas                                     
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,392.0,536.9,530.0,900.0,Sem problemas                                     
Fortaleza,2304400,CE,Ceará               ,Nordeste    ,528.8,556.9,486.0,620.0,Sem problemas                                     
Uberlândia,3170206,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Rio de Janeiro,3304557,RJ,Rio de Janeiro      ,Sudeste     ,,,,,Missing - Sem informação                          
Tatuí,3554003,SP,São Paulo           ,Sudeste     ,524.2,616.1,645.5,700.0,Sem problemas                                     
Maceió,2704302,AL,Alagoas             ,Nordeste    ,365.1,419.7,402.0,600.0,Sem problemas                                     
Juiz de Fora,3136702,MG,Minas Gerais        ,Sudeste     ,,592.3,,620.0,Sem problemas                                     
Santa Maria do Suaçuí,3158201,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Aparecida do Taboado,5001003,MS,Mato Grosso do Sul  ,Centro-Oeste,548.3,585.3,553.3,640.0,Sem problemas                                     
Barretos,3505500,SP,São Paulo           ,Sudeste     ,565.3,568.5,587.8,820.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,502.9,544.4,409.6,400.0,Sem problemas                                     
Areia,2501104,PB,Paraíba             ,Nordeste    ,393.2,523.3,412.0,760.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Barras,2201200,PI,Piauí               ,Nordeste    ,420.3,415.3,384.2,440.0,Sem problemas                                     
Cuité,2505105,PB,Paraíba             ,Nordeste    ,540.2,568.7,455.6,580.0,Sem problemas                                     
Macapá,1600303,AP,Amapá               ,Norte       ,451.8,559.0,427.0,600.0,Sem problemas                                     
Jacareí,3524402,SP,São Paulo           ,Sudeste     ,612.3,616.4,728.5,740.0,Sem problemas                                     
Teresina,2211001,PI,Piauí               ,Nordeste    ,469.8,485.3,436.5,700.0,Sem problemas                                     
Carauari,1301001,AM,Amazonas            ,Norte       ,488.8,427.6,458.1,500.0,Sem problemas                                     
Concórdia,4204301,SC,Santa Catarina      ,Sul         ,598.0,601.9,764.8,960.0,Sem problemas                                     
Campo Grande,5002704,MS,Mato Grosso do Sul  ,Centro-Oeste,,557.7,,360.0,Sem problemas                                     
Campo Maior,2202208,PI,Piauí               ,Nordeste    ,,,,,Missing - Sem informação                          
Lagarto,2803500,SE,Sergipe             ,Nordeste    ,384.4,490.8,538.9,800.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,,,,,Missing - Sem informação                          
Maceió,2704302,AL,Alagoas             ,Nordeste    ,608.1,602.4,592.7,600.0,Sem problemas                                     
Patos,2510808,PB,Paraíba             ,Nordeste    ,457.2,515.6,396.0,580.0,Sem problemas                                     
Blumenau,4202404,SC,Santa Catarina      ,Sul         ,542.7,627.3,628.7,680.0,Sem problemas                                     
Castanhal,1502400,PA,Pará                ,Norte       ,374.3,498.6,453.0,540.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,436.6,523.7,404.6,560.0,Sem problemas                                     
São Paulo,3550308,SP,São Paulo           ,Sudeste     ,557.3,578.1,536.5,640.0,Sem problemas                                     
Pires do Rio,5217401,GO,Goiás               ,Centro-Oeste,406.5,470.9,415.9,620.0,Sem problemas                                     
Uberlândia,3170206,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Jataí,5211909,GO,Goiás               ,Centro-Oeste,632.9,579.9,689.8,700.0,Sem problemas                                     
Jataí,5211909,GO,Goiás               ,Centro-Oeste,,403.0,,360.0,Sem problemas                                     
Pelotas,4314407,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Mamanguape,2508901,PB,Paraíba             ,Nordeste    ,465.7,570.5,564.3,460.0,Sem problemas                                     
Barra do Bugres,5101704,MT,Mato Grosso         ,Centro-Oeste,,,,,Missing - Sem informação                          
Aroeiras,2501302,PB,Paraíba             ,Nordeste    ,,,,,Missing - Sem informação                          
Piumhi,3151503,MG,Minas Gerais        ,Sudeste     ,589.1,587.4,613.6,860.0,Sem problemas                                     
Urucará,1304302,AM,Amazonas            ,Norte       ,399.0,447.4,413.9,520.0,Sem problemas                                     
Erechim,4307005,RS,Rio Grande do Sul   ,Sul         ,416.5,494.7,377.7,560.0,Sem problemas                                     
Contagem,3118601,MG,Minas Gerais        ,Sudeste     ,,,,,Missing - Sem informação                          
Alegrete,4300406,RS,Rio Grande do Sul   ,Sul         ,406.1,513.0,549.3,840.0,Sem problemas                                     
Timon,2112209,MA,Maranhão            ,Nordeste    ,370.2,576.9,549.3,780.0,Sem problemas                                     
Porto Alegre,4314902,RS,Rio Grande do Sul   ,Sul         ,,,,,Missing - Sem informação                          
Parnamirim,2403251,RN,Rio Grande do Norte ,Nordeste    ,536.7,571.1,531.5,420.0,Sem problemas                                     
Cacoal,1100049,RO,Rondônia            ,Norte       ,,,,,Missing - Sem informação                          
Rio Branco,1200401,AC,Acre                ,Norte       ,,,,,Missing - Sem informação                          
Boca da Mata,2701001,AL,Alagoas             ,Nordeste    ,,,,,Missing - Sem informação                          
Mauá da Serra,4115754,PR,Paraná              ,Sul         ,379.1,457.0,491.2,560.0,Sem problemas                                     
Taboão da Serra,3552809,SP,São Paulo           ,Sudeste     ,551.3,594.9,611.6,640.0,Sem problemas                                     
Ipojuca,2607208,PE,Pernambuco          ,Nordeste    ,355.3,519.7,474.9,0.0,Em Branco                                         
Santana de Parnaíba,3547304,SP,São Paulo           ,Sudeste     ,434.0,540.9,581.1,700.0,Sem problemas                                     
Brasília,5300108,DF,Distrito Federal    ,Centro-Oeste,554.8,539.0,602.4,720.0,Sem problemas                                     
São Luís,2111300,MA,Maranhão            ,Nordeste    ,601.3,502.1,683.3,920.0,Sem problemas                                     
